date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:23:49	216568/216568	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Jan%202017%2011:45:22%20GMT	http://g01.a.alicdn.com/kf/HTB1q6wPIVXXXXX0apXXq6xXFXXXj/Fashion-Wooden-Charger-Dock-For-Apple-Watch-Original-Samdi-Wood-Phone-Holder-Stand-for-iPhone-6S.jpg	D:/projects/Demo/mac_cafe/g01.a.alicdn.com/kf/HTB1q6wPIVXXXXX0apXXq6xXFXXXj/Fashion-Wooden-Charger-Dock-For-Apple-Watch-Original-Samdi-Wood-Phone-Holder-Stand-for-iPhone-6S.jpg	(from https://mac-cafe.vn/de-sac-go-samdi-cho-applewatch-va-iphone-den)
14:23:49	0/-1	---M--	302	error ('')			https://mac-cafe.vn/checkout	D:/projects/Demo/mac_cafe/mac-cafe.vn/checkout.124a.delayed	(from https://mac-cafe.vn/day-hermes-classic-doubletour)
14:23:49	0/-1	---M--	302	error ('')			https://mac-cafe.vn/checkout	D:/projects/Demo/mac_cafe/mac-cafe.vn/checkout.124b.delayed	(from https://mac-cafe.vn/day-hermes-classic-doubletour)
14:23:49	3088/3088	---M--	200	added ('OK')	image/jpeg	date:Sat,%2030%20Jun%202018%2008:48:01%20GMT	http://bizweb.dktcdn.net/thumb/small/100/183/542/products/4111005screen-shot-2015-06-22-at-1-31-45-pm-jpeg.jpg?v=1488273820657	D:/projects/Demo/mac_cafe/bizweb.dktcdn.net/thumb/small/100/183/542/products/4111005screen-shot-2015-06-22-at-1-31-45-pm-jpeg803a.jpg	(from https://mac-cafe.vn/de-sac-jcpal-cho-applewatch-bowl-design)
14:23:49	28408/28408	---M--	200	added ('OK')	image/jpeg	date:Sat,%2030%20Jun%202018%2008:48:01%20GMT	http://bizweb.dktcdn.net/thumb/large/100/183/542/products/4111005screen-shot-2015-06-22-at-1-31-45-pm-jpeg.jpg?v=1488273820657	D:/projects/Demo/mac_cafe/bizweb.dktcdn.net/thumb/large/100/183/542/products/4111005screen-shot-2015-06-22-at-1-31-45-pm-jpeg803a.jpg	(from https://mac-cafe.vn/de-sac-jcpal-cho-applewatch-bowl-design)
14:23:54	39094/39094	---M--	200	added ('OK')	image/jpeg	date:Tue,%2002%20Oct%202018%2000:14:46%20GMT	http://bizweb.dktcdn.net/thumb/large/100/183/542/products/screen-shot-2018-03-27-at-11-42-48-am.jpg?v=1522204901350	D:/projects/Demo/mac_cafe/bizweb.dktcdn.net/thumb/large/100/183/542/products/screen-shot-2018-03-27-at-11-42-48-am5e3f.jpg	(from https://mac-cafe.vn/day-hermes-classic-doubletour)
14:23:54	21100/21100	---M--	200	added ('OK')	image/jpeg	date:Wed,%2017%20Oct%202018%2008:22:57%20GMT	http://bizweb.dktcdn.net/thumb/large/100/183/542/products/51501502864-pic-hd.jpg?v=1522204901350	D:/projects/Demo/mac_cafe/bizweb.dktcdn.net/thumb/large/100/183/542/products/51501502864-pic-hd5e3f.jpg	(from https://mac-cafe.vn/day-hermes-classic-doubletour)
14:23:55	32771/32771	---M--	200	added ('OK')	image/jpeg	date:Wed,%2017%20Oct%202018%2005:32:45%20GMT	http://bizweb.dktcdn.net/thumb/large/100/183/542/products/71501502865-pic-hd.jpg?v=1522204901350	D:/projects/Demo/mac_cafe/bizweb.dktcdn.net/thumb/large/100/183/542/products/71501502865-pic-hd5e3f.jpg	(from https://mac-cafe.vn/day-hermes-classic-doubletour)
14:23:55	31796/31796	---M--	200	added ('OK')	image/jpeg	date:Tue,%2002%20Oct%202018%2000:15:26%20GMT	http://bizweb.dktcdn.net/thumb/large/100/183/542/products/611501502950-pic-hd.jpg?v=1522204901350	D:/projects/Demo/mac_cafe/bizweb.dktcdn.net/thumb/large/100/183/542/products/611501502950-pic-hd5e3f.jpg	(from https://mac-cafe.vn/day-hermes-classic-doubletour)
14:23:56	17387/17387	---M--	200	added ('OK')	image/jpeg	date:Wed,%2017%20Oct%202018%2008:22:56%20GMT	http://bizweb.dktcdn.net/thumb/large/100/183/542/products/61501502865-pic-hd.jpg?v=1522204901350	D:/projects/Demo/mac_cafe/bizweb.dktcdn.net/thumb/large/100/183/542/products/61501502865-pic-hd5e3f.jpg	(from https://mac-cafe.vn/day-hermes-classic-doubletour)
14:23:57	18270/18270	---M--	200	added ('OK')	image/jpeg	date:Wed,%2017%20Oct%202018%2004:40:23%20GMT	http://bizweb.dktcdn.net/thumb/large/100/183/542/products/81501502865-pic-hd.jpg?v=1522204901350	D:/projects/Demo/mac_cafe/bizweb.dktcdn.net/thumb/large/100/183/542/products/81501502865-pic-hd5e3f.jpg	(from https://mac-cafe.vn/day-hermes-classic-doubletour)
14:24:00	30286/30286	---M--	200	added ('OK')	image/jpeg	date:Mon,%2015%20Oct%202018%2002:20:03%20GMT	http://bizweb.dktcdn.net/thumb/large/100/183/542/products/211501502891-pic-hd.jpg?v=1522204901350	D:/projects/Demo/mac_cafe/bizweb.dktcdn.net/thumb/large/100/183/542/products/211501502891-pic-hd5e3f.jpg	(from https://mac-cafe.vn/day-hermes-classic-doubletour)
14:24:00	30402/30402	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Jun%202018%2010:22:36%20GMT	http://bizweb.dktcdn.net/thumb/large/100/183/542/products/531501502938-pic-hd.jpg?v=1522204901350	D:/projects/Demo/mac_cafe/bizweb.dktcdn.net/thumb/large/100/183/542/products/531501502938-pic-hd5e3f.jpg	(from https://mac-cafe.vn/day-hermes-classic-doubletour)
14:24:00	18740/18740	---M--	200	added ('OK')	image/jpeg	date:Tue,%2002%20Oct%202018%2000:14:49%20GMT	http://bizweb.dktcdn.net/thumb/large/100/183/542/products/581501502948-pic-hd.jpg?v=1522204901350	D:/projects/Demo/mac_cafe/bizweb.dktcdn.net/thumb/large/100/183/542/products/581501502948-pic-hd5e3f.jpg	(from https://mac-cafe.vn/day-hermes-classic-doubletour)
14:24:01	31710/31710	---M--	200	added ('OK')	image/jpeg	date:Wed,%2017%20Oct%202018%2008:22:56%20GMT	http://bizweb.dktcdn.net/thumb/large/100/183/542/products/541501502938-pic-hd.jpg?v=1522204901350	D:/projects/Demo/mac_cafe/bizweb.dktcdn.net/thumb/large/100/183/542/products/541501502938-pic-hd5e3f.jpg	(from https://mac-cafe.vn/day-hermes-classic-doubletour)
14:24:05	32211/32211	---M--	200	added ('OK')	image/jpeg	date:Tue,%2002%20Oct%202018%2000:14:50%20GMT	http://bizweb.dktcdn.net/thumb/large/100/183/542/products/191501502889-pic-hd.jpg?v=1522204901350	D:/projects/Demo/mac_cafe/bizweb.dktcdn.net/thumb/large/100/183/542/products/191501502889-pic-hd5e3f.jpg	(from https://mac-cafe.vn/day-hermes-classic-doubletour)
14:24:06	33415/33415	---M--	200	added ('OK')	image/jpeg	date:Mon,%2015%20Oct%202018%2002:20:04%20GMT	http://bizweb.dktcdn.net/thumb/large/100/183/542/products/201501502890-pic-hd.jpg?v=1522204901350	D:/projects/Demo/mac_cafe/bizweb.dktcdn.net/thumb/large/100/183/542/products/201501502890-pic-hd5e3f.jpg	(from https://mac-cafe.vn/day-hermes-classic-doubletour)
14:24:06	28351/28351	---M--	200	added ('OK')	image/jpeg	date:Mon,%2008%20Oct%202018%2006:34:34%20GMT	http://bizweb.dktcdn.net/thumb/large/100/183/542/products/241501502895-pic-hd.jpg?v=1522204901350	D:/projects/Demo/mac_cafe/bizweb.dktcdn.net/thumb/large/100/183/542/products/241501502895-pic-hd5e3f.jpg	(from https://mac-cafe.vn/day-hermes-classic-doubletour)
14:24:07	40324/40324	---M--	200	added ('OK')	image/jpeg	date:Mon,%2015%20Oct%202018%2002:20:04%20GMT	http://bizweb.dktcdn.net/thumb/large/100/183/542/products/601501502949-pic-hd.jpg?v=1522204901350	D:/projects/Demo/mac_cafe/bizweb.dktcdn.net/thumb/large/100/183/542/products/601501502949-pic-hd5e3f.jpg	(from https://mac-cafe.vn/day-hermes-classic-doubletour)
14:24:09	17715/17715	---M--	200	added ('OK')	image/jpeg	date:Mon,%2015%20Oct%202018%2002:20:04%20GMT	http://bizweb.dktcdn.net/thumb/large/100/183/542/products/481501502934-pic-hd.jpg?v=1522204901350	D:/projects/Demo/mac_cafe/bizweb.dktcdn.net/thumb/large/100/183/542/products/481501502934-pic-hd5e3f.jpg	(from https://mac-cafe.vn/day-hermes-classic-doubletour)
14:24:09	29409/29409	---M--	200	added ('OK')	image/jpeg	date:Tue,%2002%20Oct%202018%2000:14:50%20GMT	http://bizweb.dktcdn.net/thumb/large/100/183/542/products/131501502868-pic-hd.jpg?v=1522204901350	D:/projects/Demo/mac_cafe/bizweb.dktcdn.net/thumb/large/100/183/542/products/131501502868-pic-hd5e3f.jpg	(from https://mac-cafe.vn/day-hermes-classic-doubletour)
14:24:11	28653/28653	---M--	200	added ('OK')	image/jpeg	date:Thu,%2018%20Oct%202018%2018:20:16%20GMT	http://bizweb.dktcdn.net/thumb/large/100/183/542/products/401501502922-pic-hd.jpg?v=1522204901350	D:/projects/Demo/mac_cafe/bizweb.dktcdn.net/thumb/large/100/183/542/products/401501502922-pic-hd5e3f.jpg	(from https://mac-cafe.vn/day-hermes-classic-doubletour)
14:24:11	4496/4496	---M--	200	added ('OK')	image/jpeg	date:Wed,%2017%20Oct%202018%2008:22:58%20GMT	http://bizweb.dktcdn.net/thumb/small/100/183/542/products/screen-shot-2018-03-27-at-11-42-48-am.jpg?v=1522204901350	D:/projects/Demo/mac_cafe/bizweb.dktcdn.net/thumb/small/100/183/542/products/screen-shot-2018-03-27-at-11-42-48-am5e3f.jpg	(from https://mac-cafe.vn/day-hermes-classic-doubletour)
14:24:11	2962/2962	---M--	200	added ('OK')	image/jpeg	date:Wed,%2017%20Oct%202018%2008:23:00%20GMT	http://bizweb.dktcdn.net/thumb/small/100/183/542/products/71501502865-pic-hd.jpg?v=1522204901350	D:/projects/Demo/mac_cafe/bizweb.dktcdn.net/thumb/small/100/183/542/products/71501502865-pic-hd5e3f.jpg	(from https://mac-cafe.vn/day-hermes-classic-doubletour)
14:24:12	3014/3014	---M--	200	added ('OK')	image/jpeg	date:Wed,%2017%20Oct%202018%2008:22:59%20GMT	http://bizweb.dktcdn.net/thumb/small/100/183/542/products/611501502950-pic-hd.jpg?v=1522204901350	D:/projects/Demo/mac_cafe/bizweb.dktcdn.net/thumb/small/100/183/542/products/611501502950-pic-hd5e3f.jpg	(from https://mac-cafe.vn/day-hermes-classic-doubletour)
14:24:12	29284/29284	---M--	200	added ('OK')	image/jpeg	date:Mon,%2015%20Oct%202018%2002:20:04%20GMT	http://bizweb.dktcdn.net/thumb/large/100/183/542/products/491501502935-pic-hd.jpg?v=1522204901350	D:/projects/Demo/mac_cafe/bizweb.dktcdn.net/thumb/large/100/183/542/products/491501502935-pic-hd5e3f.jpg	(from https://mac-cafe.vn/day-hermes-classic-doubletour)
14:24:12	2417/2417	---M--	200	added ('OK')	image/jpeg	date:Mon,%2015%20Oct%202018%2002:20:03%20GMT	http://bizweb.dktcdn.net/thumb/small/100/183/542/products/51501502864-pic-hd.jpg?v=1522204901350	D:/projects/Demo/mac_cafe/bizweb.dktcdn.net/thumb/small/100/183/542/products/51501502864-pic-hd5e3f.jpg	(from https://mac-cafe.vn/day-hermes-classic-doubletour)
